CuteSkirtNecklacePath, 0
CuteDressHairclipPath, 0
AltSkirtHairbandPath, 0
AltSkirtHairclipPath, 0
CuteSkirtEarringsPath, 0
CutePantsNecklacePath, 0
path,result
AltDressHairbandPath, 0
AltPantsHairclipPath, 0
CutePantsHairbandPath, 0
CuteDressHairbandPath, 0
CutePantsEarringsPath, 0
CutePantsHairclipPath, 0
AltDressHairclipPath, 0
AltPantsHairbandPath, 0
AltSkirtNecklacePath, 0
AltSkirtEarringsPath, 0
AltPantsNecklacePath, 0
CuteDressEarringsPath, 0
AltPantsEarringsPath, 0
CuteDressNecklacePath, 0
CuteSkirtHairclipPath, 0
AltDressEarringsPath, 0
AltDressNecklacePath, 0
CuteSkirtHairbandPath, 0
